ok  	dev.helix.code/internal/llm	137.685s
ok  	dev.helix.code/internal/llm/compression	1.040s
ok  	dev.helix.code/internal/llm/compressioniface	1.013s
ok  	dev.helix.code/internal/llm/i18n	1.012s
ok  	dev.helix.code/internal/llm/litellm	1.024s
ok  	dev.helix.code/internal/llm/promptcache	1.287s
ok  	dev.helix.code/internal/llm/providers/cerebras	1.081s
ok  	dev.helix.code/internal/llm/providers/cohere	1.091s
ok  	dev.helix.code/internal/llm/providers/helixagent	1.078s
?   	dev.helix.code/internal/llm/providers/huggingface	[no test files]
ok  	dev.helix.code/internal/llm/providers/replicate	1.092s
?   	dev.helix.code/internal/llm/providers/together	[no test files]
ok  	dev.helix.code/internal/llm/routing	1.081s
ok  	dev.helix.code/internal/llm/vision	1.303s
EXIT_CODE=0
