ok  	dev.helix.code/internal/llm	123.827s
ok  	dev.helix.code/internal/llm/compression	1.163s
ok  	dev.helix.code/internal/llm/compressioniface	1.014s
ok  	dev.helix.code/internal/llm/i18n	1.012s
ok  	dev.helix.code/internal/llm/litellm	1.027s
ok  	dev.helix.code/internal/llm/promptcache	1.160s
ok  	dev.helix.code/internal/llm/providers/cerebras	1.030s
ok  	dev.helix.code/internal/llm/providers/cohere	1.027s
ok  	dev.helix.code/internal/llm/providers/helixagent	1.038s
?   	dev.helix.code/internal/llm/providers/huggingface	[no test files]
ok  	dev.helix.code/internal/llm/providers/replicate	1.061s
?   	dev.helix.code/internal/llm/providers/together	[no test files]
ok  	dev.helix.code/internal/llm/routing	1.012s
ok  	dev.helix.code/internal/llm/vision	1.225s
ok  	dev.helix.code/internal/server	2.289s
ok  	dev.helix.code/internal/server/i18n	1.013s
ok  	dev.helix.code/internal/worker	45.129s
ok  	dev.helix.code/internal/worker/i18n	1.013s
ok  	dev.helix.code/internal/task	2.274s
?   	dev.helix.code/internal/task/i18n	[no test files]
ok  	dev.helix.code/internal/session	6.326s
?   	dev.helix.code/internal/session/i18n	[no test files]
ok  	dev.helix.code/internal/provider	1.030s
ok  	dev.helix.code/internal/provider/i18n	1.013s
ok  	dev.helix.code/internal/providers	2.113s
ok  	dev.helix.code/internal/providers/httpclient	1.074s
ok  	dev.helix.code/internal/providers/i18n	1.013s
ok  	dev.helix.code/internal/redis	9.475s
ok  	dev.helix.code/internal/redis/i18n	1.012s
ok  	dev.helix.code/internal/memory	8.551s
?   	dev.helix.code/internal/memory/i18n	[no test files]
ok  	dev.helix.code/internal/memory/providers	39.975s
EXIT_CODE=0
